tissue	assay	species	filename	original
posterior_trunk_18	H3K27ac	gallus_gallus	posterior_trunk_18_H3K27ac_gallus_gallus.bed.gz	GSM5835477_ChIP_H3K27ac_HH18_PT_rep1.narrowPeak.gz,GSM5835478_ChIP_H3K27ac_HH18_PT_rep2.narrowPeak.gz
dorsal_skin_35	ATAC	gallus_gallus	dorsal_skin_35_ATAC_gallus_gallus.bed.gz	GSM6152758_ATAC_HH35_DS_rep1.narrowPeak.gz,GSM6152759_ATAC_HH35_DS_rep2.narrowPeak.gz
forebrain_125	ATAC	mus_musculus	forebrain_125_ATAC_mus_musculus.bed.gz	GSM6152753_ATAC_E125_FB_rep2.narrowPeak.gz,GSM6152752_ATAC_E125_FB_rep1.narrowPeak.gz
distal_forelimb_28	H3K27ac	gallus_gallus	distal_forelimb_28_H3K27ac_gallus_gallus.bed.gz	GSM5835479_ChIP_H3K27ac_HH28_DFL_rep1.narrowPeak.gz
distal_forelimb_125	H3K27ac	mus_musculus	distal_forelimb_125_H3K27ac_mus_musculus.bed.gz	GSM5835470_ChIP_H3K27ac_E125_DFL_rep1.narrowPeak.gz
posterior_trunk_95	ATAC	mus_musculus	posterior_trunk_95_ATAC_mus_musculus.bed.gz	GSM6152750_ATAC_E95_PT_rep1.narrowPeak.gz,GSM6152751_ATAC_E95_PT_rep2.narrowPeak.gz
forebrain_125	H3K27ac	mus_musculus	forebrain_125_H3K27ac_mus_musculus.bed.gz	GSM5835471_ChIP_H3K27ac_E125_FB_rep1.narrowPeak.gz
whisker_pad_125	ATAC	mus_musculus	whisker_pad_125_ATAC_mus_musculus.bed.gz	GSM6152755_ATAC_E125_WP_rep2.narrowPeak.gz,GSM6152754_ATAC_E125_WP_rep1.narrowPeak.gz
posterior_trunk_85	H3K27ac	mus_musculus	posterior_trunk_85_H3K27ac_mus_musculus.bed.gz	GSM5835476_ChIP_H3K27ac_E85_PT_rep2.narrowPeak.gz,GSM5835475_ChIP_H3K27ac_E85_PT_rep1.narrowPeak.gz
dorsal_skin_35	H3K27ac	gallus_gallus	dorsal_skin_35_H3K27ac_gallus_gallus.bed.gz	GSM5835482_ChIP_H3K27ac_HH35_DS_rep2.narrowPeak.gz,GSM5835481_ChIP_H3K27ac_HH35_DS_rep1.narrowPeak.gz
posterior_trunk_19	ATAC	gallus_gallus	posterior_trunk_19_ATAC_gallus_gallus.bed.gz	GSM6152757_ATAC_HH19_PT_rep2.narrowPeak.gz,GSM6152756_ATAC_HH19_PT_rep1.narrowPeak.gz
proximal_forelimb_28	H3K27ac	gallus_gallus	proximal_forelimb_28_H3K27ac_gallus_gallus.bed.gz	GSM5835480_ChIP_H3K27ac_HH28_PFL_rep1.narrowPeak.gz
forebrain_35	ATAC	gallus_gallus	forebrain_35_ATAC_gallus_gallus.bed.gz	GSM6152761_ATAC_HH35_FB_rep2.narrowPeak.gz,GSM6152760_ATAC_HH35_FB_rep1.narrowPeak.gz
proximal_forelimb_125	H3K27ac	mus_musculus	proximal_forelimb_125_H3K27ac_mus_musculus.bed.gz	GSM5835472_ChIP_H3K27ac_E125_PFL_rep1.narrowPeak.gz
forebrain_35	H3K27ac	gallus_gallus	forebrain_35_H3K27ac_gallus_gallus.bed.gz	GSM5835483_ChIP_H3K27ac_HH35_FB_rep1.narrowPeak.gz
whisker_pad_125	H3K27ac	mus_musculus	whisker_pad_125_H3K27ac_mus_musculus.bed.gz	GSM5835473_ChIP_H3K27ac_E125_WP_rep1.narrowPeak.gz
